Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Average of next day price,close-open,open price of next day
ITC,EQ,3-Jun-22,273.5,275,275.7,271.6,272.4,272.7,273.54,12487862,3415937894,97837,5740186,45.97,273.53,2.4,272.4
ITC,EQ,6-Jun-22,272.7,272.4,275.8,269.7,274.45,274.8,273.53,10925182,2988401868,87814,5476224,50.12,273.48,0.7,273.2
ITC,EQ,7-Jun-22,274.8,273.2,275,272.25,273.95,273.9,273.48,10828539,2961368319,98015,5911338,54.59,270.49,-6.05,273.95
ITC,EQ,8-Jun-22,273.9,273.95,274.4,266.2,267.8,267.9,270.49,14361969,3884759583,192981,6861112,47.77,269.79,3.05,267.8
ITC,EQ,9-Jun-22,267.9,267.8,271.7,265.75,270.9,270.85,269.79,9860194,2660189374,91711,4320595,43.82,269.93,1.1,269.05
ITC,EQ,10-Jun-22,270.85,269.05,271,268.75,269.95,270.15,269.93,8371061,2259589047,79572,4166101,49.77,265.76,-1.75,266.4
ITC,EQ,13-Jun-22,270.15,266.4,269.1,263,264.55,264.65,265.76,11092690,2947945156,136517,6358342,57.32,265.65,2.25,263.2
ITC,EQ,14-Jun-22,264.65,263.2,267.45,263.05,266,265.45,265.65,7422193,1971719472,83473,3444477,46.41,265.1,-2.6,266
ITC,EQ,15-Jun-22,265.45,266,267.3,263.05,263.5,263.4,265.1,5059474,1341282974,81484,2434719,48.12,262.44,-6.3,267
ITC,EQ,16-Jun-22,263.4,267,267.9,259.5,260.4,260.7,262.44,14293357,3751183386,142462,6579061,46.03,262.62,4.3,259
ITC,EQ,17-Jun-22,260.7,259,264.15,258.55,263.5,263.3,262.62,16654660,4373861999,132372,9223765,55.38,263.83,0.8,263.3
